ablation,seed,train_episodes,eval_episodes,window_len,final_f1,rghr_f1,rghr_auc,role_f1_clustering,sof,fof,of,detection_f1,convergence_step,tp,fp,fn,elapsed_sec,rolling_f1_train_mean_last_window
full,7,6000,1500,20,0.5,0.0,0.9477400277593386,0.5,0.8465012570936645,0.9196914435547837,0.8830963503242242,0.5471457231442641,0,1500,2483,0,94.53664112091064,0.543388495449767
full,17,6000,1500,20,0.53,0.0,0.9271442495126706,0.53,0.8489158539824412,0.9171414728201196,0.8830286634012804,0.5560704355885079,5,1500,2395,0,97.04885125160217,0.5613484185781455
full,27,6000,1500,20,0.5333333333333333,0.0,0.9693591617933723,0.5333333333333333,0.8242264278422438,0.9157317135859793,0.8699790707141115,0.5368647100930566,0,1500,2588,0,97.59010195732117,0.5419644119469895
full,37,6000,1500,20,0.5533333333333333,0.07894736842105263,0.9697664594774003,0.5533333333333333,0.8591062207530074,0.9178167821742673,0.8884615014636373,0.5474452554744526,0,1500,2480,0,106.05117559432983,0.5659491393141245
full,47,6000,1500,20,0.5266666666666666,0.02702702702702703,0.9723010077846841,0.5266666666666666,0.8552842067303236,0.9186744017268739,0.8869793042285987,0.5619029780857838,4,1500,2339,0,93.3127121925354,0.5733132323181703
full,57,6000,1500,20,0.5633333333333334,0.0,0.9548005551867721,0.5633333333333334,0.8388306314746765,0.9162024760567081,0.8775165537656924,0.5874290189935383,0,1500,2107,0,92.336678981781,0.5560977015233034
full,67,6000,1500,20,0.57,0.027777777777777776,0.9637739098345531,0.57,0.8224624601563384,0.9128100756198958,0.8676362678881171,0.572737686139748,2,1500,2238,0,83.30472159385681,0.5746968372207413
full,77,6000,1500,20,0.5033333333333333,0.0,0.9608351940136383,0.5033333333333333,0.8559820620448486,0.9192343192576087,0.8876081906512286,0.5970149253731343,0,1500,2025,0,95.39545440673828,0.5912681856612595
no_all_org,7,6000,1500,20,0.53,0.0,0.9477400277593386,0.53,0.8350337126525085,0.917994256724692,0.8765139846886003,0.5471457231442641,0,1500,2483,0,95.97727799415588,0.543388495449767
no_all_org,17,6000,1500,20,0.53,0.0,0.9263523391812866,0.53,0.8405889829810886,0.917519093342682,0.8790540381618853,0.5560704355885079,5,1500,2395,0,99.4430239200592,0.5613484185781455
no_all_org,27,6000,1500,20,0.5366666666666666,0.0,0.9693591617933723,0.5366666666666666,0.8468648899614859,0.9169221160021839,0.8818935029818349,0.5368647100930566,0,1500,2588,0,99.71239233016968,0.5419644119469895
no_all_org,37,6000,1500,20,0.5233333333333333,0.07894736842105263,0.9695250739243256,0.5233333333333333,0.8201512656802638,0.9072946159798355,0.8637229408300496,0.5475451724767293,0,1500,2479,0,104.35899019241333,0.5659491393141245
no_all_org,47,6000,1500,20,0.4866666666666667,0.02702702702702703,0.9722406613964154,0.4866666666666667,0.8534959941197944,0.9196036156795458,0.8865498048996701,0.5619029780857838,4,1500,2339,0,97.32653260231018,0.5733132323181703
no_all_org,57,6000,1500,20,0.5833333333333334,0.0,0.9548005551867721,0.5833333333333334,0.8367004721735647,0.9181772438927406,0.8774388580331527,0.5874290189935383,0,1500,2107,0,99.46757578849792,0.5560977015233034
no_all_org,67,6000,1500,20,0.5633333333333334,0.027777777777777776,0.9637739098345531,0.5633333333333334,0.8299176218858801,0.9123634858620262,0.8711405538739532,0.572737686139748,2,1500,2238,0,100.64263939857483,0.5746968372207413
no_all_org,77,6000,1500,20,0.5,0.0,0.9608351940136383,0.5,0.8527441685813031,0.9181902662969502,0.8854672174391267,0.5970149253731343,0,1500,2025,0,108.15276908874512,0.5912681856612595
